year,lat,lng,sentiment
2005,39.84031,-88.9548,1
2005,39.84031,-88.9548,3
2005,39.84031,-88.9548,1
2005,39.84031,-88.9548,3
2005,39.84031,-88.9548,3
2005,39.84031,-88.9548,3
2005,39.84031,-88.9548,3
2005,39.84031,-88.9548,2
2005,39.84031,-88.9548,2
2005,39.84031,-88.9548,2
2005,39.84031,-88.9548,2
2005,39.84031,-88.9548,1
2005,39.84031,-88.9548,2
2005,39.84031,-88.9548,1
2005,41.0877,-73.7769,1
2005,41.0877,-73.7769,2
2005,41.0877,-73.7769,1
2005,41.0877,-73.7769,1
2005,41.0877,-73.7769,1
2005,40.4495,-79.988,1
2005,41.8784,-87.6852,3
2005,41.8784,-87.6852,3
2005,41.8784,-87.6852,3
2005,41.8784,-87.6852,3
2005,41.8784,-87.6852,2
2005,41.8784,-87.6852,3
2005,41.8784,-87.6852,2
2005,41.8784,-87.6852,2
2006,38.7667,-90.4201,2
2006,38.7667,-90.4201,2
2006,38.7667,-90.4201,1
2006,38.7667,-90.4201,2
2006,37.7312,-122.3826,1
2006,41.8784,-87.6852,1
2006,41.8784,-87.6852,3
2006,41.8784,-87.6852,1
2006,41.8784,-87.6852,3
2006,41.8784,-87.6852,3
2006,39.84031,-88.9548,3
2006,39.84031,-88.9548,3
2006,39.84031,-88.9548,2
2006,39.84031,-88.9548,3
2006,39.84031,-88.9548,2
2006,39.84031,-88.9548,2
2006,39.84031,-88.9548,2
2006,39.84031,-88.9548,2
2006,39.84031,-88.9548,1
2006,39.84031,-88.9548,1
2006,39.84031,-88.9548,1
2006,39.84031,-88.9548,1
2006,39.84031,-88.9548,3
2006,39.84031,-88.9548,1
2007,40.7528,-73.9725,1
2007,40.7528,-73.9725,3
2007,41.9491,-79.4448,1
2007,41.9491,-79.4448,3
2007,41.9491,-79.4448,3
2007,41.0877,-73.7769,3
2007,39.84031,-88.9548,3
2007,39.84031,-88.9548,2
2007,39.84031,-88.9548,2
2007,39.84031,-88.9548,2
2007,39.84031,-88.9548,2
2007,39.84031,-88.9548,1
2007,39.84031,-88.9548,2
2007,39.84031,-88.9548,1
2007,39.84031,-88.9548,1
2007,39.84031,-88.9548,1
2007,39.84031,-88.9548,1
2007,39.84031,-88.9548,3
2007,39.84031,-88.9548,3
2007,39.84031,-88.9548,3
2008,40.7528,-73.9725,3
2008,40.7528,-73.9725,2
2008,41.9491,-79.4448,3
2008,41.9491,-79.4448,2
2008,41.9491,-79.4448,2
2008,41.0877,-73.7769,2
2008,39.84031,-88.9548,1
2008,39.84031,-88.9548,2
2008,39.84031,-88.9548,1
2008,39.84031,-88.9548,1
2008,39.84031,-88.9548,3
2008,39.84031,-88.9548,1
2008,39.84031,-88.9548,3
2008,39.84031,-88.9548,3
2008,39.84031,-88.9548,1
2008,39.84031,-88.9548,3
2008,39.84031,-88.9548,3
2008,39.84031,-88.9548,3
2008,39.84031,-88.9548,3
2008,39.84031,-88.9548,2
2009,40.4495,-79.988,3
2009,38.7667,-90.4201,2
2009,38.7667,-90.4201,2
2009,38.7667,-90.4201,1
2009,38.7667,-90.4201,2
2009,37.7312,-122.3826,1
2009,40.7528,-73.9725,1
2009,40.7528,-73.9725,1
2009,41.9491,-79.4448,1
2009,41.9491,-79.4448,3
2009,41.9491,-79.4448,1
2009,41.0877,-73.7769,3
2009,40.7528,-73.9725,3
2009,40.7528,-73.9725,3
2009,39.84031,-88.9548,3
2009,39.84031,-88.9548,2
2009,39.84031,-88.9548,2
2009,39.84031,-88.9548,2
2009,39.84031,-88.9548,2
2009,39.84031,-88.9548,1
2009,39.84031,-88.9548,2
2009,39.84031,-88.9548,1
2009,39.84031,-88.9548,1
2009,39.84031,-88.9548,1
2009,39.84031,-88.9548,1
2009,39.84031,-88.9548,3
2009,39.84031,-88.9548,3
2009,39.84031,-88.9548,3
2010,38.0964,-78.1814,3
2010,38.0964,-78.1814,2
2010,38.0964,-78.1814,3
2010,38.0964,-78.1814,3
2010,38.0964,-78.1814,2
2010,38.8156,-77.0453,3
2010,38.8156,-77.0453,2
2010,38.8156,-77.0453,2
2010,38.6249,-77.6252,2
2010,38.7462,-77.4903,2
2010,39.1492,-78.278,1
2010,34.4153,-118.794,1
2010,34.4153,-118.794,1
2010,34.4153,-118.794,1
2010,34.4153,-118.794,3
2010,38.9311,-77.3489,1
2010,39.0487,-77.6082,3
2010,39.0487,-77.6082,3
2010,39.0487,-77.6082,3
2010,39.0487,-77.6082,3
2010,36.7646,-76.199,2
2010,36.7646,-76.199,3
2010,41.8784,-87.6852,2
2010,41.8784,-87.6852,2
2010,41.8784,-87.6852,1
2010,41.8784,-87.6852,2
2010,41.8784,-87.6852,1
2010,41.8784,-87.6852,1
2010,39.84031,-88.9548,1
2010,39.84031,-88.9548,1
2010,39.84031,-88.9548,3
2010,39.84031,-88.9548,1
2010,39.84031,-88.9548,3
2010,39.84031,-88.9548,3
2010,39.84031,-88.9548,3
2010,39.84031,-88.9548,3
2010,39.84031,-88.9548,2
2010,39.84031,-88.9548,2
2010,39.84031,-88.9548,3
2010,39.84031,-88.9548,2
2010,39.84031,-88.9548,2
2010,39.84031,-88.9548,2
2010,37.7751,-122.4192,2
2010,37.7751,-122.4192,1
2010,37.7751,-122.4192,2
2010,37.7751,-122.4192,1
2010,37.7751,-122.4192,1
2010,37.7751,-122.4192,1
2010,36.233048,-115.246776,1
2010,36.233048,-115.246776,3
2010,36.233048,-115.246776,3
2010,36.233048,-115.246776,3
2010,36.233048,-115.246776,3
2010,36.233048,-115.246776,2
2011,34.0521,-118.243,3
2011,34.0521,-118.243,2
2011,34.0521,-118.243,2
2011,34.0521,-118.243,2
2011,34.0521,-118.243,2
2011,34.0521,-118.243,1
2011,34.0521,-118.243,1
2011,34.0521,-118.243,1
2011,34.0521,-118.243,1
2011,34.0521,-118.243,3
2011,34.0521,-118.243,1
2011,34.0521,-118.243,3
2011,38.9499,-77.2223,3
2011,38.9499,-77.2223,3
2011,38.9499,-77.2223,3
2011,38.9499,-77.2223,2
2011,38.9499,-77.2223,3
2011,38.9499,-77.2223,2
2011,38.9499,-77.2223,2
2011,38.9499,-77.2223,1
2011,38.9499,-77.2223,2
2011,38.9499,-77.2223,2
2011,38.9499,-77.2223,1
2011,38.9499,-77.2223,2
2011,38.9499,-77.2223,1
2011,38.9499,-77.2223,1
2011,38.9499,-77.2223,1
2011,38.9499,-77.2223,1
2011,38.9499,-77.2223,3
2011,38.9499,-77.2223,1
2011,38.9499,-77.2223,3
2011,38.9499,-77.2223,3
2011,38.9499,-77.2223,2
2011,38.9499,-77.2223,3
2011,38.9499,-77.2223,2
2011,38.5359,-77.4219,2
2011,35.5446,-78.8309,2
2011,42.7423,-86.0661,2
2011,40.0122,-82.8095,1
2011,33.4468,-86.7404,2
2011,33.2769,-111.9444,1
2011,41.1628,-83.3976,1
2011,41.8784,-87.6852,1
2011,41.8784,-87.6852,1
2011,41.8784,-87.6852,3
2011,41.8784,-87.6852,3
2011,41.8784,-87.6852,3
2011,37.7751,-122.4192,3
2011,37.7751,-122.4192,2
2011,37.7751,-122.4192,3
2011,37.7751,-122.4192,2
2011,37.7751,-122.4192,2
2011,37.7751,-122.4192,2
2012,33.728,-116.5116,2
2012,35.8204,-78.6783,1
2012,35.994,-78.8986,2
2012,34.7595,-77.5019,2
2012,35.1752,-79.3834,1
2012,35.1752,-79.3834,1
2012,35.1752,-79.3834,1
2012,35.1752,-79.3834,1
2012,35.1752,-79.3834,3
2012,35.1752,-79.3834,1
2012,35.1752,-79.3834,3
2012,35.1752,-79.3834,3
2012,35.1752,-79.3834,3
2012,35.1752,-79.3834,3
2012,35.1752,-79.3834,2
2012,35.1752,-79.3834,2
2012,36.1213,-76.6414,2
2012,33.9255,-84.338,2
2012,33.9255,-84.338,1
2012,33.9255,-84.338,2
2012,33.9255,-84.338,1
2012,33.9255,-84.338,1
2012,34.0521,-118.243,1
2012,34.0521,-118.243,1
2012,34.0521,-118.243,3
2012,34.0521,-118.243,1
2012,34.0521,-118.243,3
2012,34.0521,-118.243,3
2012,34.0521,-118.243,2
2012,34.0521,-118.243,3
2012,34.0521,-118.243,2
2012,34.0521,-118.243,2
2012,34.0521,-118.243,2
2012,34.0521,-118.243,2
2012,37.7751,-122.4192,1
2012,37.7751,-122.4192,2
2012,37.7751,-122.4192,1
2012,37.7751,-122.4192,1
2012,37.7751,-122.4192,1
2012,37.7751,-122.4192,1
2012,37.7751,-122.4192,1
2012,37.7751,-122.4192,3
2012,37.7751,-122.4192,1
2012,37.7751,-122.4192,3
2012,37.7751,-122.4192,3
2012,37.7751,-122.4192,3
2012,37.7751,-122.4192,3
2012,37.7751,-122.4192,2
2012,37.7751,-122.4192,3
2012,37.7751,-122.4192,2
2012,37.7751,-122.4192,2
2012,37.7751,-122.4192,2
2012,37.7751,-122.4192,2
2012,37.7751,-122.4192,1
2012,37.7751,-122.4192,1
2012,37.7751,-122.4192,1
2012,37.7751,-122.4192,1
2012,37.7751,-122.4192,3
2012,37.7751,-122.4192,1
2012,37.7751,-122.4192,3
2012,37.7751,-122.4192,3
2012,37.7751,-122.4192,3
2012,37.7751,-122.4192,3
2012,37.7751,-122.4192,2
2012,37.7751,-122.4192,2
2012,37.7751,-122.4192,2
2012,37.7751,-122.4192,2
2012,37.7751,-122.4192,1
2012,37.7751,-122.4192,2
2012,37.7751,-122.4192,1
2012,37.7751,-122.4192,1
2012,37.7751,-122.4192,1
2012,37.7751,-122.4192,1
2012,37.7751,-122.4192,3
2012,37.7751,-122.4192,1
2012,37.7751,-122.4192,3
2013,38.7667,-90.4201,3
2013,38.7667,-90.4201,3
2013,38.7667,-90.4201,3
2013,37.7312,-122.3826,3
2013,41.8784,-87.6852,2
2013,41.8784,-87.6852,3
2013,41.8784,-87.6852,2
2013,41.8784,-87.6852,2
2013,41.8784,-87.6852,2
2013,40.7528,-73.9725,2
2013,40.7528,-73.9725,1
2013,41.9491,-79.4448,2
2013,41.9491,-79.4448,1
2013,41.9491,-79.4448,1
2013,41.0877,-73.7769,3
2013,40.7528,-73.9725,1
2013,40.7528,-73.9725,3
2013,41.9491,-79.4448,3
2013,41.9491,-79.4448,3
2013,41.9491,-79.4448,3
2013,41.0877,-73.7769,3
2013,40.4495,-79.988,2
2013,38.7667,-90.4201,2
2013,38.7667,-90.4201,2
2013,38.7667,-90.4201,2
2013,37.7312,-122.3826,1
2013,40.7528,-73.9725,1
2013,40.7528,-73.9725,1
2013,41.9491,-79.4448,1
2013,41.9491,-79.4448,3
2013,41.9491,-79.4448,1
2013,41.0877,-73.7769,3
2013,40.7528,-73.9725,3
2013,40.7528,-73.9725,3
2013,38.0964,-78.1814,3
2013,38.0964,-78.1814,3
2013,38.0964,-78.1814,3
2013,38.0964,-78.1814,3
2013,38.0964,-78.1814,2
2013,38.8156,-77.0453,2
2013,38.8156,-77.0453,2
2013,38.8156,-77.0453,2
2013,38.6249,-77.6252,1
2013,38.7462,-77.4903,2
2013,39.1492,-78.278,1
2013,34.4153,-118.794,1
2013,34.4153,-118.794,1
2013,34.4153,-118.794,1
2013,34.4153,-118.794,3
2013,38.9311,-77.3489,3
2013,39.0487,-77.6082,3
2013,39.0487,-77.6082,3
2013,39.0487,-77.6082,2
2013,39.0487,-77.6082,3
2013,36.7646,-76.199,2
2013,36.7646,-76.199,2
2013,41.8784,-87.6852,2
2013,41.8784,-87.6852,2
2013,41.8784,-87.6852,1
2013,41.8784,-87.6852,2
2013,41.8784,-87.6852,1
2013,41.8784,-87.6852,1
2013,38.9499,-77.2223,3
2013,38.9499,-77.2223,1
2013,38.9499,-77.2223,3
2013,38.9499,-77.2223,3
2013,38.9499,-77.2223,3
